VARNAMES: CID CIDint SURVEY TYPE FIELD CUTFLAG_SNANA zHEL zHELERR zCMB zCMBERR zHD zHDERR VPEC VPECERR HOST_LOGMASS HOST_LOGMASS_ERR SNRMAX1 SNRMAX2 SNRMAX3 PKMJD PKMJDERR x1 x1ERR c cERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 NDOF FITCHI2 FITPROB RA DECL TGAPMAX TrestMIN TrestMAX MWEBV m0obs_i m0obs_r em0obs_i em0obs_r MU MUMODEL MUERR MUERR_RAW MURES MUPULL M0DIF ERRCODE biasCor_mu biasCorErr_mu biasCor_mB biasCor_x1 biasCor_c biasScale_muCOV IDSAMPLE 
SN: 1248677 1248677 10 1 C3 1 0.35070 0.00100 0.35020 0.00100 0.35020 0.00100 0 0 9.8450 1.40000e-02 78.4304 72.2024 70.5422 56554.367 0.119 1.0022 0.1137 -1.10622e-01 2.19627e-02 21.5263 2.73788e-02 4.40037e-05 1.10963e-06 3.48550e-04 -3.97940e-08 -2.01739e-08 43 27.7196 0.9737 53.646217 -28.127001 8.7888 -1.19093e+01 42.1685 7.30900e-03 21.6151 21.4763 1.55620e-02 2.06140e-02  41.3161 41.3454  0.0898  0.0632 -0.0509 -0.567  0.0216 0  0.102  0.004 -0.021  0.055 -0.032  0.458 1 
SN: 1250017 1250017 10 1 S1 1 0.18260 0.00100 0.18170 0.00100 0.18170 0.00100 0 0 8.7970 3.80000e-02 77.6901 65.5060 46.4954 56553.867 0.103 0.9524 0.1550 -9.23231e-02 2.61938e-02 20.0457 3.42039e-02 1.72073e-04 5.42081e-06 4.52740e-04 -3.09890e-07 -1.19276e-07 32 33.4843 0.4438 43.193733 -0.127481 9.4337 -1.49036e+01 44.1559 4.87000e-02 20.6401 20.2944 2.78140e-02 1.87200e-02  39.7919 39.7244  0.0942  0.0740  0.0237  0.252  0.0438 0  0.073  0.004 -0.016  0.017 -0.024  0.465 1 
SN: 1253039 1253039 10 1 C1 1 0.45400 0.00600 0.45350 0.00600 0.45350 0.00600 0 0 10.7950 0.1395 30.4346 23.1837 21.4245 56574.965 0.297 0.3513 0.2695 -9.68782e-02 2.76632e-02 22.3092 3.09699e-02 2.13955e-05 6.10291e-07 1.14026e-03 -6.45247e-08 -9.97225e-09 45 34.4664 0.8943 54.418591 -27.527397 8.9220 -1.08483e+01 41.3837 9.68600e-03 22.2358 22.0685 2.43020e-02 2.92090e-02  42.0138 42.0077  0.1104  0.1013  0.0138  0.125 -0.0077 0  0.058  0.004 -0.025 -0.078 -0.026  0.510 1 
SN: 1253101 1253101 10 1 E1 1 0.46070 0.00050 0.45960 0.00050 0.45960 0.00050 0 0 8.5260 0.1940 21.3585 21.2670 14.2646 56577.965 0.453 1.4335 0.3766 1.35675e-02 3.26920e-02 22.4300 4.03652e-02 1.91429e-05 7.11689e-07 2.88787e-03 -1.43409e-07 -1.53893e-08 39 50.3317 0.1268 7.465117 -43.137768 8.8704 -1.36332e+01 39.1187 5.84400e-03 22.2456 22.1622 3.02410e-02 3.88860e-02  41.9469 42.0423  0.1230  0.1102 -0.0877 -0.713 -0.0077 0 -0.007  0.008  0.022  0.425  0.025  0.587 1 
SN: 1253920 1253920 10 1 C1 1 0.19600 0.00100 0.19560 0.00100 0.19560 0.00100 0 0 9.2340 3.30000e-02 71.2753 48.1840 38.9002 56583.234 0.109 -7.33173e-01 0.1382 -8.43909e-02 2.77645e-02 20.3452 3.34942e-02 1.30587e-04 4.02852e-06 3.48432e-04 -1.70889e-07 -8.95274e-08 28 20.6679 0.8389 54.629311 -27.042770 10.8467 -1.33910e+01 43.3933 9.12000e-03 20.7389 20.4852 2.79550e-02 1.86070e-02  39.8359 39.9024  0.0971  0.0801 -0.1102 -1.135  0.0438 0  0.052  0.006 -0.014 -0.018 -0.019  0.470 1 
SN: 1255502 1255502 10 1 X1 1 0.14920 0.00100 0.14820 0.00100 0.14820 0.00100 0 0 10.4540 9.10000e-02 42.1413 36.7105 28.6325 56592.762 0.193 1.1100 0.2981 -5.98933e-02 4.57069e-02 19.4055 7.34512e-02 3.10315e-04 2.09931e-05 9.02742e-03 -5.18399e-06 -8.78028e-07 7 2.5682 0.9585 33.904625 -4.209216 17.4306 -1.18663e+01 42.9477 1.85300e-02 20.0062 19.6110 4.35310e-02 3.35420e-02  39.1228 39.2373  0.1062  0.0909 -0.1622 -1.527  0.0477 0  0.024  0.006 -0.008  0.021 -0.008  0.515 1 
SN: 1257366 1257366 10 1 C1 1 0.21180 0.00100 0.21140 0.00100 0.21140 0.00100 0 0 10.9650 0.1340 15.7228 15.4922 14.6296 56611.965 0.495 -1.90109e-01 0.4850 0.1160 4.05422e-02 21.1932 5.32326e-02 5.98026e-05 2.93206e-06 1.91501e-03 -4.38562e-07 -9.46409e-08 12 3.8773 0.9924 53.899559 -26.969273 10.7085 -8.12325e+00 39.7169 9.84800e-03 21.2223 21.1451 4.61740e-02 3.13920e-02  40.1908 40.0910  0.1490  0.1314  0.1049  0.704 -0.0051 0 -0.077  0.011  0.009 -0.026  0.023  0.719 1 
SN: 1257695 1257695 10 1 E1 1 0.18470 0.00100 0.18380 0.00100 0.18380 0.00100 0 0 9.8540 5.45000e-02 71.7271 63.1155 51.1356 56613.438 0.095 0.3459 9.27815e-02 -1.15695e-01 2.52752e-02 20.0778 3.13082e-02 1.67062e-04 4.81739e-06 4.88781e-05 -9.92788e-08 -1.01294e-07 19 17.0955 0.6468 7.601611 -42.298237 10.9403 -9.63126e+00 36.8138 5.62600e-03 20.5996 20.2458 2.47170e-02 1.67500e-02  39.7877 39.7521  0.0901  0.0711 -0.0082 -0.091  0.0438 0  0.104  0.005 -0.025 -0.010 -0.036  0.434 1 
SN: 1258906 1258906 10 1 E2 1 0.35010 0.00100 0.34920 0.00100 0.34920 0.00100 0 0 9.1950 1.70000e-02 22.5939 18.7312 13.6820 56621.590 0.335 -1.59550e-02 0.3144 2.54507e-03 3.56420e-02 22.0546 4.89971e-02 2.70504e-05 1.22073e-06 3.81758e-03 -2.10291e-07 -3.65606e-08 38 21.3647 0.9865 10.262011 -44.394093 9.6000 -1.45012e+01 44.7912 5.50900e-03 22.0047 21.9580 2.83290e-02 3.80350e-02  41.4436 41.3382  0.1153  0.0960  0.0838  0.727  0.0216 0 -0.052  0.005 -0.003 -0.039  0.012  0.582 1 
SN: 1258940 1258940 10 1 S1 1 0.42690 0.00100 0.42590 0.00100 0.42590 0.00100 0 0 11.2230 0.1460 18.5997 13.2097 11.7551 56619.547 0.449 -1.09440e-01 0.3915 -1.05925e-01 3.74919e-02 22.2241 5.24581e-02 2.31406e-05 1.11806e-06 4.57049e-03 -2.91282e-07 -2.70253e-08 50 43.0021 0.7479 42.714821 -0.525112 6.3977 -1.22342e+01 44.5021 5.07410e-02 22.2315 22.1457 3.90890e-02 4.72030e-02  41.8843 41.8457  0.1193  0.1217  0.0464  0.389 -0.0077 0  0.068  0.004 -0.030 -0.133 -0.033  0.501 1 
