zHD,MU
0.001,28.160294959940178
0.002,29.66712409540238
0.003,30.54925706447287
0.004,31.175624942822697
0.005,31.66184672954374
0.006,32.05942221267719
0.007,32.39582294977101
0.008,32.68744701446366
0.009000000000000001,32.94487150217314
0.01,33.17531838091232
0.011,33.38393878788335
0.012,33.574536133524084
0.013000000000000001,33.74999877078472
0.014,33.91257186312305
0.015,34.06403522974126
0.016,34.20582367644481
0.017,34.33911078244007
0.018000000000000002,34.464868701827506
0.019,34.58391177490223
0.02,34.696928940024044
0.021,34.80450822934146
0.022,34.90715556080317
0.023,35.00530934949225
0.024,35.09935200699404
0.025,35.189619091763724
0.026000000000000002,35.27640666376551
0.027,35.35997725034802
0.028,35.44056472662131
0.029,35.518378339048226
0.03,35.59360604664016
0.031,35.666417314094595
0.032,35.73696546133398
0.033,35.80538965139013
0.034,35.87181658144771
0.035,35.936361928695995
0.036000000000000004,35.99913159245395
0.037,36.060222766070815
0.038,36.119724865853954
0.039,36.17772033931115
0.04,36.23428537105012
0.041,36.289490501500616
0.042,36.343401171069466
0.043000000000000003,36.396078200257946
0.044,36.447578214577845
0.045,36.49795402171139
0.046,36.54725494721455
0.047,36.59552713411429
0.048,36.642813810961634
0.049,36.689155532244854
0.05,36.73459039451254
0.051000000000000004,36.77915423109422
0.052000000000000005,36.822880787912545
0.053,36.865801882548155
0.054,36.90794754843519
0.055,36.94934616582684
0.056,36.99002458095993
0.057,37.030008214670524
0.058,37.0693211615659
0.059000000000000004,37.10798628071633
0.06,37.146025278727315
0.061,37.183458785942484
0.062,37.220306426452936
0.063,37.25658688250327
0.064,37.292317953825915
0.065,37.3275166123766
0.066,37.362199052889046
0.067,37.39638073963018
0.068,37.43007644968948
0.069,37.463300313110096
0.07,37.49606585013138
0.07100000000000001,37.5283860057901
0.07200000000000001,37.560273182101966
0.073,37.59173926802319
0.074,37.62279566737399
0.075,37.65345332488715
0.076,37.68372275053268
0.077,37.71361404225129
0.078,37.74313690722134
0.079,37.7723006817712
0.08,37.80111435003988
0.081,37.82958656147679
0.082,37.85772564726946
0.083,37.88553963577509
0.084,37.913036267027366
0.085,37.940223006385814
0.08600000000000001,37.967107057385896
0.08700000000000001,37.993695373847274
0.088,38.019994671289325
0.089,38.046011437701715
0.09,38.07175194371441
0.091,38.097222252203736
0.092,38.122428227375266
0.093,38.1473755433551
0.094,38.172069692320996
0.095,38.19651599220484
0.096,38.2207195939901
0.097,38.24468548863214
0.098,38.268418513623715
0.099,38.291923359226814
0.1,38.31520457439093
0.101,38.338266572378
0.10200000000000001,38.36111363610921
0.10300000000000001,38.38374992325132
0.10400000000000001,38.40617947105768
0.105,38.428406200976774
0.106,38.450433923043036
0.107,38.47226634006123
0.108,38.49390705159625
0.109,38.51535955777898
0.11,38.536627262938374
0.111,38.557713479069605
0.112,38.57862142914571
0.113,38.59935425028319
0.114,38.619914996767356
0.115,38.6403066429459
0.116,38.66053208599697
0.117,38.68059414857882
0.11800000000000001,38.70049558136618
0.11900000000000001,38.72023906548044
0.12,38.739827214816835
0.121,38.75926257827639
0.122,38.778547641905455
0.123,38.79768483094743
0.124,38.816676511812524
0.125,38.83552499396744
0.126,38.85423253175013
0.127,38.872801326112864
0.128,38.891233526297015
