zHD,MU
0.001,28.159155843626763
0.002,29.66484767391005
0.003,30.54584514554275
0.004,31.171079330810443
0.005,31.656169225425295
0.006,32.0526146140582
0.007,32.38788705089324
0.008,32.67838460621359
0.009000000000000001,32.93468437209016
0.01,33.16400831319438
0.011,33.37150756339628
0.012,33.560985529808235
0.013000000000000001,33.7353305620632
0.014,33.896787820308276
0.015,34.04713712044341
0.016,34.18781326497877
0.017,34.319989829832636
0.018000000000000002,34.44463896582535
0.019,34.56257500997884
0.02,34.67448689738747
0.021,34.78096265694117
0.022,34.88250820333764
0.023,34.979561948416105
0.024,35.07250630052544
0.025,35.1616768148914
0.026000000000000002,35.2473695482563
0.027,35.3298470247536
0.028,35.40934311628577
0.029,35.48606706611477
0.03,35.56020683005861
0.031,35.63193186962831
0.032,35.70139550156668
0.033,35.768736885733404
0.034,35.83408271614755
0.035,35.89754866684017
0.036000000000000004,35.959240633978666
0.037,36.01925580776801
0.038,36.07768360137774
0.039,36.13460645918506
0.04,36.1901005626738
0.041,36.24423644915687
0.042,36.29707955593099
0.043000000000000003,36.34869070039402
0.044,36.39912650496122
0.045,36.44843977422505
0.046,36.496679830658465
0.047,36.543892814212015
0.048,36.59012195036725
0.049,36.63540779054935
0.05,36.679788428250596
0.051000000000000004,36.72329969375092
0.052000000000000005,36.76597532992989
0.053,36.807847151331465
0.054,36.848945188360204
0.055,36.88929781824601
0.056,36.92893188420843
0.057,36.96787280407352
0.058,37.00614466944444
0.059000000000000004,37.04377033639446
0.06,37.08077150853781
0.061,37.11716881323389
0.062,37.152981871595514
0.063,37.18822936289545
0.064,37.222929083901064
0.065,37.25709800360879
0.066,37.29075231379994
0.067,37.32390747579468
0.068,37.356578263742676
0.069,37.38877880475316
0.07,37.42052261613789
0.07100000000000001,37.451822640012296
0.07200000000000001,37.4826912754769
0.073,37.513140408578934
0.074,37.5431814402357
0.075,37.57282531228361
0.076,37.60208253180207
0.077,37.63096319384724
0.078,37.65947700271926
0.079,37.68763329187443
0.08,37.7154410425853
0.081,37.742908901441325
0.082,37.77004519677601
0.083,37.7968579540983
0.084,37.82335491059988
0.085,37.849543528804006
0.08600000000000001,37.875431009416076
0.08700000000000001,37.90102430343137
0.088,37.92633012355088
0.089,37.9513549549521
0.09,37.976105065458086
0.091,38.00058651514463
0.092,38.02480516542249
0.093,38.04876668762853
0.094,38.07247657115756
0.095,38.095940131163786
0.096,38.11916251585909
0.097,38.14214871343308
0.098,38.16490355861831
0.099,38.18743173892218
0.1,38.20973780054567
0.101,38.23182615400759
0.10200000000000001,38.25370107949179
0.10300000000000001,38.275366731933474
0.10400000000000001,38.29682714585984
0.105,38.31808623999899
0.106,38.339147821670615
0.107,38.36001559097024
0.108,38.38069314475913
0.109,38.40118398047012
0.11,38.42149149973977
0.111,38.4416190118761
0.112,38.46156973717086
0.113,38.48134681006453
0.114,38.500953282171956
0.115,38.520392125175796
0.116,38.539666233594744
0.117,38.5587784274329
0.11800000000000001,38.57773145471646
0.11900000000000001,38.5965279939233
0.12,38.61517065631097
0.121,38.633661988148006
0.122,38.65200447285349
0.123,38.670200533049254
0.124,38.688252532528985
0.125,38.706162778148226
0.126,38.72393352163915
0.127,38.74156696135353
0.128,38.759065243937386
0.129,38.776430465940464
0.13,38.79366467536357
0.131,38.81076987314664
0.132,38.827748014600175
0.133,38.8446010107827
0.134,38.86133072982664
0.135,38.87793899821489
0.136,38.89442760201024
0.137,38.91079828803984
0.138,38.927052765036535
0.139,38.94319270473905
0.14,38.959219742952634
0.14100000000000001,38.97513548057211
0.14200000000000002,38.99094148456865
0.14300000000000002,39.00663928894197
0.14400000000000002,39.02223039563938
0.145,39.03771627544296
0.146,39.05309836882632
0.147,39.06837808678207
0.148,39.08355681162124
0.149,39.09863589774588
0.15,39.11361667239561
0.151,39.12850043636961
0.152,39.14328846472464
0.153,39.15798200745016
0.154,39.17258229012155
0.155,39.18709051453212
0.156,39.20150785930484
0.157,39.215835480484486
0.158,39.23007451211102
0.159,39.244226066774836
0.16,39.25829123615469
0.161,39.2722710915388
0.162,39.28616668432977
0.163,39.29997904653413
0.164,39.31370919123674
0.165,39.32735811306087
0.166,39.34092678861436
0.167,39.354416176922385
0.168,39.367827219847264
0.169,39.38116084249589
0.17,39.39441795361503
0.171,39.40759944597518
0.17200000000000001,39.42070619674307
0.17300000000000001,39.433739067843476
0.17400000000000002,39.44669890631059
0.17500000000000002,39.45958654462929
0.176,39.47240280106672
0.177,39.485148479994436
0.178,39.497824372201535
0.179,39.510431255198974
0.18,39.52296989351541
0.181,39.53544103898487
0.182,39.54784543102646
0.183,39.56018379691646
0.184,39.572456852052966
0.185,39.58466530021335
0.186,39.59680983380484
0.187,39.60889113410833
0.188,39.62090987151569
0.189,39.632866705760804
0.19,39.644762286144505
0.191,39.656597251753595
0.192,39.66837223167418
0.193,39.6800878451994
0.194,39.69174470203187
0.195,39.70334340248084
0.196,39.714884537654385
0.197,39.726368689646634
0.198,39.737796431720355
0.199,39.74916832848479
0.2,39.76048493606921
0.201,39.77174680229203
0.202,39.7829544668257
0.203,39.794108461357666
0.20400000000000001,39.80520930974724
0.20500000000000002,39.81625752817869
0.20600000000000002,39.827253625310576
0.20700000000000002,39.838198102421565
0.20800000000000002,39.84909145355256
0.209,39.85993416564561
0.21,39.870726718679386
0.211,39.881469585801426
0.212,39.89216323345737
0.213,39.90280812151701
0.214,39.91340470339755
0.215,39.92395342618381
0.216,39.93445473074577
0.217,39.94490905185337
0.218,39.955316818288686
0.219,39.965678452955444
0.22,39.9759943729862
0.221,39.98626498984693
0.222,39.996490709439385
0.223,40.00667193220106
0.224,40.01680905320296
0.225,40.02690246224524
0.226,40.03695254395058
0.227,40.046959677855654
0.228,40.05692423850053
0.229,40.06684659551609
0.23,40.07672711370955
0.231,40.08656615314818
0.232,40.096364069241154
0.233,40.106121212819644
0.234,40.115837930215264
0.23500000000000001,40.12551456333674
0.23600000000000002,40.13515144974506
0.23700000000000002,40.14474892272695
0.23800000000000002,40.15430731136683
0.23900000000000002,40.16382694061729
0.24,40.173308131368074
0.241,40.1827512005136
0.242,40.192156461019124
0.243,40.20152422198554
0.244,40.210854788712815
0.245,40.22014846276216
